,subject,subject_id
0,Still-Life,0
1,Horses,1
2,Marine Art/Maritime,2
3,Portraits,3
4,U.S. Presidents,4
5,Rivers/Lakes,5
6,Flowers,6
7,Spring,7
8,Landscape Art,8
9,Winter,9
10,Jesus Christ,10
11,Christianity,11
12,Nude,12
13,Autumn/Fall,13
14,Bridges,14
15,Gardens,15
16,Seascapes,16
17,Musics,17
18,Dancers,18
19,Churches/Temples/Mosques,19
20,Dogs,20
21,Cafes/Bars,21
22,Summer,22
23,Architectures,23
24,Deers,24
25,Lovers,25
26,Abstract/Modern Art,26
27,Water Lilies,27
28,Tigers,28
